Row Labels,Count of ISSUING_AGENCY_NAME
INTERNAL AFFAIRS DIVISION,1
US. GOVERNMENT PRINTING OFFICE,2
FBI,2
US. BUREAU OF ENGRAVING AND PRINTNG,2
OTHER,3
SPECIAL INSPECTION DIVISION,4
U.S. NATIONAL ZOOLOGICAL POLICE,5
MPD RESERVE CORPS,9
METRO POLICE,11
US. SECRET SERVICE UNIFORM DIVISION,37
D.C. HOUSING AUTHORITY,56
BOLLING AFB,61
METROPOLITAN POLICE DPT-DISTRICT 7,88
TAXI COMMISSION,99
SPECIAL OPERATION DIV & TRAFFIC DIV,136
UNITED STATES PARK POLICE,137
UNITED STATES CAPITOL POLICE,151
METROPOLITAN POLICE DPT-DISTRICT 4,200
METROPOLITAN POLICE DPT-DISTRICT 2,290
METROPOLITAN POLICE DPT-DISTRICT 3,339
METROPOLITAN POLICE DPT-DISTRICT 5,345
METROPOLITAN POLICE DPT-DISTRICT 6,372
METROPOLITAN POLICE DPT-DISTRICT 1,596
DEPARTMENT OF PUBLIC WORKS,105257
Grand Total,108203
